SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,21925 7th Ave S #105,Des Moines,WA,98198,280000,2,1,Des Moines,985,,1982,20,284,456,Active,,,http://www.redfin.com/WA/Des-Moines/21925-7th-Ave-S-98198/unit-105/home/21997178,NWMLS,1660921,N,Y,47.4048937,-122.3267757
MLS Listing,,Townhouse,1108 Taylor Ave N Unit C,Seattle,WA,98109,1098000,5,2,Queen Anne,2300,1205,2008,20,477,,Active,,,http://www.redfin.com/WA/Seattle/1108-Taylor-Ave-N-98109/unit-C/home/18660897,NWMLS,1660308,N,Y,47.62921,-122.3457109
MLS Listing,,Townhouse,2517 30th Ave S Unit B,Seattle,WA,98144,620000,2,1.5,Mt Baker,930,3870,2008,20,667,,Active,,,http://www.redfin.com/WA/Seattle/2517-30th-Ave-S-98144/unit-B/home/17382257,NWMLS,1660309,N,Y,47.5804982,-122.294786
MLS Listing,,Single Family Residential,11744 Fremont Ave N,Seattle,WA,98133,735000,3,1.75,Bitter Lake,1780,6840,1946,20,413,,Active,,,http://www.redfin.com/WA/Seattle/11744-Fremont-Ave-N-98133/home/98086,NWMLS,1659288,N,Y,47.7154766,-122.3499129
MLS Listing,,Townhouse,18245 NE 96th Way #103,Redmond,WA,98052,575000,2,2.25,Redmond,1071,,2002,20,537,444,Active,,,http://www.redfin.com/WA/Redmond/18245-NE-96th-Way-98052/unit-103/home/24719,NWMLS,1660582,N,Y,47.6863316,-122.0971638
MLS Listing,,Single Family Residential,6101 34th Ave NW,Seattle,WA,98107,1195000,4,2.5,Sunset Hill,3180,5200,1904,20,376,,Active,,,http://www.redfin.com/WA/Seattle/6101-34th-Ave-NW-98107/home/161860,NWMLS,1660162,N,Y,47.6731327,-122.4012896
MLS Listing,,Single Family Residential,1712 Sunset Ave SW,Seattle,WA,98116,1021200,4,2.5,West Seattle,2720,3655,1928,21,375,,Active,,,http://www.redfin.com/WA/Seattle/1712-Sunset-Ave-SW-98116/home/149663,NWMLS,1660848,N,Y,47.5873455,-122.3919885
MLS Listing,,Single Family Residential,8143 Delridge Way SW,Seattle,WA,98106,674900,4,2.5,West Seattle,2248,1751,2016,26,300,,Active,,,http://www.redfin.com/WA/Seattle/8143-Delridge-Way-SW-98106/home/112863523,NWMLS,1657307,N,Y,47.5288967,-122.3606985
MLS Listing,,Condo/Co-op,4422 Bagley Ave N #104,Seattle,WA,98103,499950,1,1,University District,765,,2006,27,654,354,Active,,,http://www.redfin.com/WA/Seattle/4422-Bagley-Ave-N-98103/unit-104/home/2116933,NWMLS,1658013,N,Y,47.6609749,-122.3322016
MLS Listing,,Condo/Co-op,2717 Western Ave #628,Seattle,WA,98121,435000,1,1,Belltown,658,,2001,27,661,386,Active,,,http://www.redfin.com/WA/Seattle/2717-Western-Ave-98121/unit-628/home/12008,NWMLS,1655733,N,Y,47.6152233,-122.3521882
